date,profit
4.12.2020,0.06
5.12.2020,0.13
6.12.2020,0.12
7.12.2020,0.28
8.12.2020,0.6
9.12.2020,0.52
10.12.2020,0.09
11.12.2020,0.16
12.12.2020,0.55
13.12.2020,0.04
14.12.2020,0.17
15.12.2020,0.01
16.12.2020,0.01
17.12.2020,0.4
18.12.2020,-0.18
19.12.2020,0.63
20.12.2020,0.27
21.12.2020,1.25
